series,kind,x,y
Exposed Households,point,-0.16563779375723722,0.4482851595100024
Exposed Households,point,-0.16413636713739005,0.5202292640367039
Exposed Households,point,-0.1640062927605355,0.49276677813983893
Exposed Households,point,-0.16365700972414493,0.4676788751779231
Exposed Households,point,-0.15856153558068525,0.44521669888453996
Exposed Households,point,-0.1579322297738704,0.5390433958904136
Exposed Households,point,-0.15740991775725194,0.49345347199302125
Exposed Households,point,-0.14929226637703244,0.4406810931854411
Exposed Households,point,-0.14434924366640783,0.427102819368391
Exposed Households,point,-0.14077599847323685,0.4591728373734268
Exposed Households,point,-0.12634071275258735,0.45356020208894654
Exposed Households,point,-0.12353353096760428,0.34462667400580305
Exposed Households,point,-0.12229381448828253,0.4812786757718957
Exposed Households,point,-0.11965862326305213,0.4916538012674762
Exposed Households,point,-0.11913200320549801,0.5354003782439465
Exposed Households,point,-0.10882303912718397,0.4916449692768412
Exposed Households,point,-0.10085190803007889,0.4125461946441742
Exposed Households,point,-0.1006328346576931,0.4925381573047735
Exposed Households,point,-0.10037233081461919,0.4214711782441337
Exposed Households,point,-0.09948936079309233,0.44641626497324843
Exposed Households,point,-0.09397776602114262,0.4003844198163279
Exposed Households,point,-0.09322741554230818,0.3990360073637077
Exposed Households,point,-0.08972907898560323,0.440050974426411
Exposed Households,point,-0.0885139280352735,0.42137765374818104
Exposed Households,point,-0.08783854318046991,0.45378046114420784
Exposed Households,point,-0.0820796071978154,0.43718067144887324
Exposed Households,point,-0.08007391476874523,0.43004958588722236
Exposed Households,point,-0.07631051548258952,0.4375286174503433
Exposed Households,point,-0.06900143751224508,0.46056100874240447
Exposed Households,point,-0.06885051503238164,0.4337737955989913
Exposed Households,point,-0.062102136067101965,0.4668078135382221
Exposed Households,point,-0.05528402060330764,0.38247252726686903
Exposed Households,point,-0.05280898445201403,0.5045826112068608
Exposed Households,point,-0.052371526390910514,0.4434126466438066
Exposed Households,point,-0.051682616347310695,0.4194111562250737
Exposed Households,point,-0.045086054515223475,0.44913701976710346
Exposed Households,point,-0.0448539259081801,0.4777831637685675
Exposed Households,point,-0.04274474566668243,0.4233194138021377
Exposed Households,point,-0.037745986033229706,0.4450379322896659
Exposed Households,point,-0.035169824235256913,0.4649811121017266
Exposed Households,point,-0.030190728082863993,0.4578073272378943
Exposed Households,point,-0.02991655659212275,0.39093908730275473
Exposed Households,point,-0.021100495410064618,0.45503020061603466
Exposed Households,point,-0.01956386472490504,0.36202946692924476
Exposed Households,point,-0.012820696628345812,0.4717358037478195
Exposed Households,point,-0.0041037948362144805,0.45705251062118807
Exposed Households,point,-9.474831395109296e-05,0.41244512218235246
Exposed Households,point,0.004921799107048985,0.4171333252652576
Exposed Households,fit,-0.16563779375723722,0.4694403146265922
Exposed Households,fit,0.004921799107048985,0.43191720419644924
Unexposed Households,point,-0.16568871915804417,0.5537163091641765
Unexposed Households,point,-0.16437520816937784,0.5559737108159324
Unexposed Households,point,-0.15550406863282196,0.5634473820134284
Unexposed Households,point,-0.15135544087072422,0.5734246199137208
Unexposed Households,point,-0.14468275818828635,0.5660025814165366
Unexposed Households,point,-0.14316525720063553,0.5465479723093717
Unexposed Households,point,-0.14185445917789513,0.5859489466850125
Unexposed Households,point,-0.13965541795292105,0.5913543116546202
Unexposed Households,point,-0.12757053941512275,0.5274589692535682
Unexposed Households,point,-0.12359669261436383,0.5786311273672581
Unexposed Households,point,-0.12056401382421934,0.5789361630653468
Unexposed Households,point,-0.1193762355107186,0.549645863803117
Unexposed Households,point,-0.11847607322471129,0.5469972717745661
Unexposed Households,point,-0.11795395665061331,0.5504144681009893
Unexposed Households,point,-0.11491559015631439,0.5390513725180636
Unexposed Households,point,-0.10932762635187077,0.5414814213318928
Unexposed Households,point,-0.10674987760338285,0.5797637119764661
Unexposed Households,point,-0.1024800655605457,0.5381056016583441
Unexposed Households,point,-0.09893615848925766,0.5538793578700464
Unexposed Households,point,-0.0869149352486074,0.5424196925652609
Unexposed Households,point,-0.08567840167378848,0.52454627009048
Unexposed Households,point,-0.08452348174640334,0.5260068210576858
Unexposed Households,point,-0.08430588741344033,0.582413708590162
Unexposed Households,point,-0.08374677637356483,0.5337976031194746
Unexposed Households,point,-0.08210892619916126,0.5641072550142744
Unexposed Households,point,-0.07677624296196194,0.5203735436445573
Unexposed Households,point,-0.07452421408846098,0.6009316912150215
Unexposed Households,point,-0.06592785569249565,0.5687698194424957
Unexposed Households,point,-0.06143204957706641,0.5841898271435817
Unexposed Households,point,-0.051231880431053714,0.5159620796129427
Unexposed Households,point,-0.04465841896984321,0.4966376265745909
Unexposed Households,point,-0.04282260924534148,0.5717727381983081
Unexposed Households,point,-0.04099514678318958,0.6463236181328209
Unexposed Households,point,-0.031056144968802324,0.5201492372728875
Unexposed Households,point,-0.02565771404033043,0.5590941005416574
Unexposed Households,point,-0.0230433021094488,0.49975959918810103
Unexposed Households,point,-0.020852542275363067,0.5850905130037145
Unexposed Households,point,-0.01680321036531157,0.5627600264237618
Unexposed Households,point,-0.01539220903719768,0.544199483435221
Unexposed Households,point,-0.010215503292348799,0.5708061198008861
Unexposed Households,point,-0.009004286668080869,0.5741178847399131
Unexposed Households,point,-0.006978467099583607,0.5120869171927829
Unexposed Households,point,-0.005347899640269743,0.5240206823085172
Unexposed Households,point,-0.003580534387640777,0.5082127668236375
Unexposed Households,point,-0.0016166459546073098,0.5707828455946594
Unexposed Households,point,-0.0013067011804092366,0.6043586694181109
Unexposed Households,point,0.00043375548285307097,0.5630608675597635
Unexposed Households,point,0.0041827339429071075,0.563425698328603
Unexposed Households,fit,-0.16568871915804417,0.5463871204463077
Unexposed Households,fit,0.0041827339429071075,0.55573005036686
