year,return_value
1980,512.8711736876412
1980,95.28183149487116
1980,-1422.0418074656284
1980,1039.4414687587864
1981,377.81334496614164
1981,-260.94907226467274
1981,451.8789523098049
1981,805.7039887003966
1982,1085.8849544051714
1982,185.35788242518439
1982,-612.6801046655853
1982,5.471032277562526
1983,-592.0955078770048
1983,-733.7962573882274
1983,-101.32339786253011
1983,-236.70361455780213
1984,-246.06321065886948
1984,944.538383935966
1984,38.34086848879674
1984,-806.1923133144514
1985,-35.048282802358905
1985,432.99192025495694
1985,-743.5737813670027
1985,1043.269267040011
1986,1050.3004583130319
1986,557.7837660714697
1986,686.8571499597821
1986,109.31728612881818
1987,851.698587480535
1987,-1418.4967083420818
1987,491.4722152268459
1987,637.2072301792294
1988,2.524035549603191
1988,-1121.3903265544377
1988,-129.7730528893716
1988,-558.1591292219457
1989,-40.72497489873524
1989,-277.3403046747833
1989,673.1486313368509
1989,-163.1060260382821
1990,-1160.325818486936
1990,-313.95130524951026
1990,376.7722397194362
1990,-248.09112814975205
1991,-824.4918404282457
1991,-19.673761216162827
1991,-529.8208835893465
1991,146.47826657272958
1992,-421.9891152654683
1992,-1138.2420741942603
1992,166.73707977216125
1992,-533.9034662833384
1993,-181.8148774578135
1993,296.4229693021496
1993,-390.0300861162534
1993,-339.3654517389524
1994,145.1733468999186
1994,1021.2863759312037
1994,-1106.377878491179
1994,-246.93435284370952
1995,438.92385645656395
1995,285.4639154698932
1995,767.3355907754597
1995,-939.4544479177537
1995,-1517.6000907068649
1995,-210.5013695035383
1995,-1597.279470184763
1995,-385.39140719150765
1995,1395.0015205345471
1995,835.1780528667183
1996,-473.0968518668148
1996,-2099.572554610116
1996,-1500.7800750814718
1996,160.22422767011255
1996,83.82911958312425
1996,-613.657396479294
1996,-1542.958127076277
1996,1149.4160197692706
1996,2343.603595588417
1996,556.9450178643665
1996,1887.5005784972468
1996,306.2092706472217
1996,-507.2455244168489
1996,-951.8699747113343
1996,-438.14925106273193
1997,-3800.450910690635
1997,-1233.1564993465686
1997,-1953.246156706748
1997,250.2603679375911
1997,-240.43500742245828
1997,-1489.4612527860559
1997,-111.09066761763805
1997,2491.601801360602
1997,2418.5233617393246
1997,-950.171866305963
1997,-2517.6967831637858
1997,743.5975409207845
1997,-774.9667964933403
1997,1572.4623166238464
1997,1595.7658983800948
1997,633.8346428806611
1997,1784.333407913912
1997,-1931.1307898908615
1997,-914.0121815978007
1997,2060.680486717683
1998,2670.0294615081452
1998,-1712.8500167341765
1998,3046.518029801905
1998,154.50456226198628
1998,-1508.9532354987489
1998,2708.8618037663623
1998,-3560.7112488827324
1998,-1686.7406115401436
1998,563.0279975030905
1998,-1289.2731695378388
1998,2132.3348638563857
1998,-1660.0089684845443
1998,1020.4034932718876
1998,2186.34107491356
1998,2979.2674978908353
1998,-2110.6449840393943
1998,2307.6900512807574
1998,-2962.0865417061987
1998,557.8282346775651
1998,-1495.9223659538616
1998,-3764.3573353446704
1998,3394.840832647732
1998,1074.2980942797908
1998,436.92791051081736
1998,-1930.6948462034459
1998,2377.541937543487
1998,-2494.7671662588473
1998,2839.8725887457126
1998,-2348.0784075256224
1998,843.354718241119
1998,-309.32012479199426
1998,-2447.456279427474
1998,-1710.5795640126996
1998,-2093.4416805930837
1998,-1028.7530121504192
1998,2629.987391301487
1998,-6200.779383863979
1998,4032.9235931414332
1999,-115.38344859456049
1999,-7761.51112391454
1999,3690.7507448291763
1999,-4649.833494918894
1999,-4623.022178361916
1999,-6829.425321930588
1999,-3558.7552876184127
1999,1674.8466056384275
1999,2266.854508633571
1999,805.2753375254296
1999,-164.50723054877776
1999,-2035.2405614001814
1999,3931.4565504487637
1999,-8539.365040520624
1999,-4266.27590419482
1999,4952.56681659134
1999,1867.0119968915617
1999,-6700.8006512642105
1999,-3203.649991944022
1999,-1986.9445677560125
1999,-4371.765408431754
1999,-8.783932598586324
1999,5660.516644742772
1999,3373.08856590054
1999,-736.1289872847922
1999,-1887.159535388505
1999,363.3539844440416
1999,8917.950112087734
1999,3963.4387026230893
1999,-115.27027203654657
1999,-2420.5222913217667
1999,-2258.023567873587
1999,-5202.555537649303
1999,1486.0068498301348
1999,-2209.9153166277933
1999,3010.604372819069
1999,-3175.092565296819
1999,1248.2272187803135
1999,-962.3623050545885
1999,-1822.4165740937908
1999,2601.2211317079846
1999,1012.2526123785324
1999,-639.2235400476362
1999,795.5183786259881
1999,576.4606861245779
1999,-392.0779329185366
1999,-1270.934138519627
1999,-1062.3819753163302
1999,-368.79738740955804
1999,9379.193866741249
1999,-1099.6879277727523
1999,-3777.14460980681
1999,-5459.915637645731
2000,-1910.2785324059691
2000,-4221.839475463692
2000,11237.210585190433
2000,-336.31299232041016
2000,-767.6316747913356
2000,3696.159098339625
2000,-7720.536022205279
2000,-7272.533634873679
2000,-4682.2143071634155
2000,-4028.267643198122
2000,-15937.375288189107
2000,-5526.719224227031
2000,211.83240145483728
2000,-4527.648869443895
2000,-2811.760194244958
2000,-3179.827668993717
2000,-5104.654523670159
2000,-10702.03780351285
2000,9784.652167999073
2000,-3476.726928279418
2000,-4434.80738036833
2000,-3456.584500688828
2000,-1100.1645064508411
2000,-6025.947916971103
2000,-9271.945785112888
2000,872.1272239979677
2000,-4942.939631364529
2000,-8762.532474401729
2000,2940.335395773154
2000,3625.387303677746
2000,6065.405506288897
2000,13954.232073748964
2000,2208.080703337359
2000,-238.98207699754957
2000,3787.0349406661294
2000,-2978.7427848763887
2000,-6691.350792642895
2000,426.8605070414158
2000,-1695.7635319006376
2000,-1225.3607252476495
2000,1179.1634557905008
2000,8732.235631235368
2000,-6964.861747249583
2000,-7949.757151380251
2000,-641.5576292760356
2000,-3916.4844329111625
2000,15116.8617550137
2000,3773.5312812394054
2000,-3621.8173264967254
2000,108.22087387279196
2000,3728.85823607461
2000,-5426.3318962338935
2000,7323.729892175179
2000,5946.847605821268
2000,-1158.6638268044267
2000,-1234.358717535505
2000,-5130.079167792436
2000,-2307.0505669945383
2000,-18885.337838638807
2000,8600.93666874379
2000,6061.841883842357
2000,-6493.390629903112
2000,-2272.866874721183
2000,-240.79041547223204
2000,-13214.609005908713
2000,7962.846933358797
2000,16295.794743619874
2000,1304.0966858151937
2000,-4846.830577399396
2000,-6914.973765453819
2000,-8933.667658253267
2000,439.395670582346
2000,494.29902805872223
2000,4833.317776848772
2000,-11253.022168825411
2000,11162.171527923092
2000,24140.427603450382
2000,26051.92927070636
2001,7363.509785487569
2001,3221.6623476002305
2001,4880.20739842796
2001,1279.4212765960767
2001,1173.8681330928666
2001,-620.5241146499704
2001,-6555.109344683115
2001,-3079.488520858306
2001,-4211.6304791674675
2001,1755.0886065259187
2001,1502.4377972355571
2001,-6830.231993094789
2001,-7561.175154770291
2001,-2222.217936509454
2001,1940.1715487843805
2001,-281.3162876038097
2001,-5536.131998824393
2001,-103.86627246874822
2001,530.0379274069643
2001,3927.6998447318947
2001,121.95186113204706
2001,-2594.5997757243945
2001,-4973.909264288525
2001,-5231.018237503051
2001,1832.4895762083522
2001,-2863.030627382809
2001,3027.1019523282384
2001,193.6945228367848
2001,-686.2731716674954
2001,-1664.6617505830236
2001,-802.9726200989902
2001,742.6876376815213
2001,273.7587176618773
2001,785.0226182055575
2001,-4353.064012927796
2001,-3515.7022218882057
2001,-949.5767812907106
2001,-2104.8842947455555
2001,-918.81093632746
2001,-2488.3556370567926
2001,1509.0020204349428
2001,1546.0282273985254
2001,-770.8233702257968
2001,-170.71821818618756
2001,-4958.142582148393
2001,-302.7467836068416
2001,-2492.7235134445245
2001,3398.839071813734
2001,4054.2192375515633
2001,1624.472780707153
2001,-258.0824261605466
2001,5745.832043420653
2001,1540.9055246290575
2001,3581.961395737629
2001,4072.223451747007
2001,-2577.625245571865
2001,9755.933338990866
2001,2121.5238085683354
