panel,title,rate,rank,estimate,low,high,status
1,OLS,Replication Rate: 82.4%,0.4329004329004329,-0.24503311258278146,-0.5562913907284768,-0.026490066225165563,Never Significant
1,OLS,Replication Rate: 82.4%,1.0822510822510822,-0.23841059602649006,-0.4503311258278146,-0.026490066225165563,Never Significant
1,OLS,Replication Rate: 82.4%,1.7316017316017316,-0.271523178807947,-0.423841059602649,-0.052980132450331126,Not Replicated
1,OLS,Replication Rate: 82.4%,2.380952380952381,-0.2119205298013245,-0.4370860927152318,0.052980132450331126,Never Significant
1,OLS,Replication Rate: 82.4%,3.0303030303030303,-0.16556291390728478,-0.3576158940397351,0.052980132450331126,Never Significant
1,OLS,Replication Rate: 82.4%,3.67965367965368,-0.10596026490066225,-0.33112582781456956,0.07947019867549669,Not Replicated
1,OLS,Replication Rate: 82.4%,4.329004329004329,-0.13245033112582782,-0.33112582781456956,0.07947019867549669,Not Replicated
1,OLS,Replication Rate: 82.4%,4.978354978354979,-0.1390728476821192,-0.304635761589404,0.07947019867549669,Not Replicated
1,OLS,Replication Rate: 82.4%,5.627705627705628,-0.1456953642384106,-0.2781456953642384,0.07947019867549669,Not Replicated
1,OLS,Replication Rate: 82.4%,6.277056277056277,-0.0728476821192053,-0.31788079470198677,0.15894039735099338,Never Significant
1,OLS,Replication Rate: 82.4%,6.926406926406926,-0.15894039735099338,-0.25165562913907286,0.11920529801324503,Not Replicated
1,OLS,Replication Rate: 82.4%,7.575757575757576,-0.0728476821192053,-0.2781456953642384,0.1986754966887417,Never Significant
1,OLS,Replication Rate: 82.4%,8.225108225108226,-0.019867549668874173,-0.23841059602649006,0.2119205298013245,Never Significant
1,OLS,Replication Rate: 82.4%,8.874458874458876,0.006622516556291391,-0.2119205298013245,0.2119205298013245,Never Significant
1,OLS,Replication Rate: 82.4%,9.523809523809524,0.2119205298013245,-0.2251655629139073,0.2251655629139073,Not Replicated
1,OLS,Replication Rate: 82.4%,10.173160173160174,0.006622516556291391,-0.2251655629139073,0.2251655629139073,Not Replicated
1,OLS,Replication Rate: 82.4%,10.822510822510822,0.052980132450331126,-0.2251655629139073,0.25165562913907286,Never Significant
1,OLS,Replication Rate: 82.4%,11.471861471861471,0.033112582781456956,-0.18543046357615894,0.2251655629139073,Never Significant
1,OLS,Replication Rate: 82.4%,12.121212121212121,0.06622516556291391,-0.1456953642384106,0.2119205298013245,Not Replicated
1,OLS,Replication Rate: 82.4%,12.770562770562771,0.059602649006622516,-0.17218543046357615,0.25165562913907286,Never Significant
1,OLS,Replication Rate: 82.4%,13.41991341991342,0.2251655629139073,-0.11920529801324503,0.23841059602649006,Not Replicated
1,OLS,Replication Rate: 82.4%,14.06926406926407,0.08609271523178808,-0.15894039735099338,0.2781456953642384,Never Significant
1,OLS,Replication Rate: 82.4%,14.71861471861472,0.09271523178807947,-0.10596026490066225,0.304635761589404,Not Replicated
1,OLS,Replication Rate: 82.4%,15.367965367965366,0.13245033112582782,-0.11920529801324503,0.3443708609271523,Never Significant
1,OLS,Replication Rate: 82.4%,16.017316017316016,0.10596026490066225,-0.10596026490066225,0.31788079470198677,Not Replicated
1,OLS,Replication Rate: 82.4%,16.666666666666664,0.1456953642384106,-0.11920529801324503,0.3576158940397351,Never Significant
1,OLS,Replication Rate: 82.4%,17.316017316017316,0.11920529801324503,-0.06622516556291391,0.304635761589404,Not Replicated
1,OLS,Replication Rate: 82.4%,17.965367965367964,0.13245033112582782,-0.09271523178807947,0.3576158940397351,Never Significant
1,OLS,Replication Rate: 82.4%,18.614718614718615,0.304635761589404,-0.09271523178807947,0.304635761589404,Not Replicated
1,OLS,Replication Rate: 82.4%,19.264069264069263,0.13245033112582782,-0.09271523178807947,0.3576158940397351,Not Replicated
1,OLS,Replication Rate: 82.4%,19.913419913419915,0.10596026490066225,-0.07947019867549669,0.3443708609271523,Not Replicated
1,OLS,Replication Rate: 82.4%,20.562770562770563,0.1390728476821192,-0.06622516556291391,0.3443708609271523,Not Replicated
1,OLS,Replication Rate: 82.4%,21.21212121212121,0.1456953642384106,-0.06622516556291391,0.3443708609271523,Never Significant
1,OLS,Replication Rate: 82.4%,21.861471861471863,0.2781456953642384,-0.052980132450331126,0.3708609271523179,Not Replicated
1,OLS,Replication Rate: 82.4%,22.51082251082251,0.17218543046357615,-0.039735099337748346,0.3708609271523179,Not Replicated
1,OLS,Replication Rate: 82.4%,23.160173160173162,0.24503311258278146,-0.039735099337748346,0.3841059602649007,Not Replicated
1,OLS,Replication Rate: 82.4%,23.809523809523807,0.1986754966887417,-0.026490066225165563,0.3973509933774834,Never Significant
1,OLS,Replication Rate: 82.4%,24.458874458874458,0.19205298013245034,-0.026490066225165563,0.3973509933774834,Never Significant
1,OLS,Replication Rate: 82.4%,25.108225108225106,0.19205298013245034,-0.013245033112582781,0.3973509933774834,Not Replicated
1,OLS,Replication Rate: 82.4%,25.757575757575758,0.19205298013245034,0.013245033112582781,0.3841059602649007,Never Significant
1,OLS,Replication Rate: 82.4%,26.406926406926406,0.1986754966887417,0.026490066225165563,0.4105960264900662,Replicated
1,OLS,Replication Rate: 82.4%,27.056277056277057,0.2052980132450331,0.039735099337748346,0.3973509933774834,Replicated
1,OLS,Replication Rate: 82.4%,27.705627705627705,0.2185430463576159,0.026490066225165563,0.4503311258278146,Replicated
1,OLS,Replication Rate: 82.4%,28.354978354978357,0.23841059602649006,0.026490066225165563,0.4503311258278146,Replicated
1,OLS,Replication Rate: 82.4%,29.004329004329005,0.423841059602649,0.026490066225165563,0.4503311258278146,Never Significant
1,OLS,Replication Rate: 82.4%,29.653679653679653,0.24503311258278146,0.039735099337748346,0.4503311258278146,Replicated
1,OLS,Replication Rate: 82.4%,30.303030303030305,0.31125827814569534,0.039735099337748346,0.46357615894039733,Never Significant
1,OLS,Replication Rate: 82.4%,30.952380952380953,0.2119205298013245,0.026490066225165563,0.46357615894039733,Never Significant
1,OLS,Replication Rate: 82.4%,31.601731601731604,0.2582781456953642,0.09271523178807947,0.4503311258278146,Replicated
1,OLS,Replication Rate: 82.4%,32.25108225108225,0.2781456953642384,0.09271523178807947,0.4503311258278146,Replicated
1,OLS,Replication Rate: 82.4%,32.900432900432904,0.2847682119205298,0.052980132450331126,0.4900662251655629,Replicated
1,OLS,Replication Rate: 82.4%,33.549783549783555,0.2847682119205298,0.06622516556291391,0.4768211920529801,Replicated
1,OLS,Replication Rate: 82.4%,34.1991341991342,0.2781456953642384,0.07947019867549669,0.4900662251655629,Replicated
1,OLS,Replication Rate: 82.4%,34.84848484848485,0.2847682119205298,0.052980132450331126,0.5165562913907285,Replicated
1,OLS,Replication Rate: 82.4%,35.4978354978355,0.31125827814569534,0.052980132450331126,0.5298013245033113,Replicated
1,OLS,Replication Rate: 82.4%,36.14718614718615,0.304635761589404,0.06622516556291391,0.5298013245033113,Replicated
1,OLS,Replication Rate: 82.4%,36.79653679653679,0.31125827814569534,0.09271523178807947,0.5165562913907285,Replicated
1,OLS,Replication Rate: 82.4%,37.44588744588744,0.31125827814569534,0.09271523178807947,0.5165562913907285,Replicated
1,OLS,Replication Rate: 82.4%,38.095238095238095,0.304635761589404,0.10596026490066225,0.5165562913907285,Replicated
1,OLS,Replication Rate: 82.4%,38.74458874458874,0.31788079470198677,0.11920529801324503,0.5033112582781457,Replicated
1,OLS,Replication Rate: 82.4%,39.39393939393939,0.31125827814569534,0.13245033112582782,0.4900662251655629,Replicated
1,OLS,Replication Rate: 82.4%,40.04329004329004,0.2980132450331126,0.11920529801324503,0.5165562913907285,Never Significant
1,OLS,Replication Rate: 82.4%,40.692640692640694,0.31788079470198677,0.10596026490066225,0.5298013245033113,Replicated
1,OLS,Replication Rate: 82.4%,41.34199134199134,0.2980132450331126,0.11920529801324503,0.5298013245033113,Never Significant
1,OLS,Replication Rate: 82.4%,41.99134199134199,0.2980132450331126,0.10596026490066225,0.5298013245033113,Never Significant
1,OLS,Replication Rate: 82.4%,42.64069264069264,0.423841059602649,0.10596026490066225,0.5298013245033113,Never Significant
1,OLS,Replication Rate: 82.4%,43.290043290043286,0.31788079470198677,0.10596026490066225,0.5298013245033113,Replicated
1,OLS,Replication Rate: 82.4%,43.93939393939394,0.33774834437086093,0.11920529801324503,0.5298013245033113,Replicated
1,OLS,Replication Rate: 82.4%,44.58874458874459,0.33112582781456956,0.1456953642384106,0.5165562913907285,Replicated
1,OLS,Replication Rate: 82.4%,45.23809523809524,0.33112582781456956,0.13245033112582782,0.5562913907284768,Replicated
1,OLS,Replication Rate: 82.4%,45.887445887445885,0.36423841059602646,0.13245033112582782,0.5562913907284768,Replicated
1,OLS,Replication Rate: 82.4%,46.53679653679654,0.36423841059602646,0.1456953642384106,0.5562913907284768,Replicated
1,OLS,Replication Rate: 82.4%,47.18614718614719,0.3708609271523179,0.18543046357615894,0.543046357615894,Replicated
1,OLS,Replication Rate: 82.4%,47.83549783549784,0.3576158940397351,0.18543046357615894,0.543046357615894,Replicated
1,OLS,Replication Rate: 82.4%,48.484848484848484,0.37748344370860926,0.18543046357615894,0.543046357615894,Replicated
